age,workclass,fnlwgt,education,educational-num,marital-status,occupation,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
34,Private,296724,Some-college,5,Unmarried,Exec-managerial,White,Female,0,0,17,United-States,<=50K
19,Private,127491,HS-grad,4,Unmarried,Other-service,White,Male,0,0,40,United-States,<=50K
36,Private,196554,Some-college,5,Married,Sales,White,Male,> 0,0,40,United-States,>50K
35,Private,58343,HS-grad,4,Married,Sales,White,Male,0,0,44,United-States,<=50K
17,Private,347000,9th-12th,3,Unmarried,Farming-fishing,White,Male,0,0,12,United-States,<=50K
33,Private,312881,Bachelors,8,Married,Prof-specialty,Black,Male,0,0,40,United-States,>50K
33,Private,437566,Masters,9,Unmarried,Exec-managerial,White,Male,0,0,50,United-States,>50K
39,Private,181705,HS-grad,4,Married,Prof-specialty,White,Male,0,0,45,United-States,<=50K
52,Private,30846,Some-college,5,Divorced,Machine-op-inspct,White,Female,0,0,40,United-States,<=50K
34,Private,112564,HS-grad,4,Married,Transport-moving,White,Male,0,0,45,United-States,<=50K
39,Private,49020,Masters,9,Unmarried,Exec-managerial,White,Male,0,> 0,40,United-States,<=50K
37,Private,390243,HS-grad,4,Unmarried,Transport-moving,Black,Male,0,0,45,United-States,<=50K
42,Private,397346,HS-grad,4,Unmarried,Craft-repair,White,Male,> 0,0,40,United-States,<=50K
43,Private,197093,Bachelors,8,Unmarried,Machine-op-inspct,Black,Male,0,0,40,United-States,<=50K
24,Private,138892,HS-grad,4,Married,Craft-repair,Black,Male,0,0,40,United-States,<=50K
23,Private,35448,Some-college,5,Unmarried,Other-service,White,Female,0,0,25,United-States,<=50K
30,Private,329425,Some-college,5,Married,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
31,Private,201122,Bachelors,8,Married,Sales,White,Male,0,> 0,45,United-States,>50K
26,Private,135521,HS-grad,4,Unmarried,Craft-repair,White,Male,0,0,50,United-States,<=50K
52,Self-emp,313243,HS-grad,4,Married,Craft-repair,White,Male,0,0,55,United-States,>50K
30,Government,290677,Masters,9,Unmarried,Adm-clerical,Black,Female,0,0,20,United-States,<=50K
58,Private,204678,Bachelors,8,Married,Tech-support,White,Female,0,0,40,United-States,>50K
18,Private,53109,9th-12th,3,Unmarried,Other-service,Other,Male,0,0,20,United-States,<=50K
36,Private,175759,Bachelors,8,Married,Exec-managerial,White,Male,> 0,0,50,United-States,>50K
56,Government,101847,HS-grad,4,Married,Adm-clerical,White,Male,> 0,0,40,United-States,<=50K
57,Private,298507,Bachelors,8,Married,Prof-specialty,White,Male,> 0,0,40,United-States,>50K
44,Government,143104,Some-college,5,Married,Exec-managerial,White,Female,0,0,38,United-States,>50K
41,Private,222142,HS-grad,4,Married,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
46,Private,394860,HS-grad,4,Married,Other-service,White,Male,0,0,40,United-States,<=50K
28,Private,338409,Bachelors,8,Married,Prof-specialty,Black,Female,0,0,40,Other,<=50K
22,Private,240229,HS-grad,4,Unmarried,Adm-clerical,White,Female,0,0,40,United-States,<=50K
22,Private,254547,Some-college,5,Unmarried,Exec-managerial,Black,Female,0,0,40,Other,<=50K
28,Government,175262,Assoc-acdm,7,Married,Other-service,White,Male,0,> 0,40,Other,<=50K
18,Private,132986,9th-12th,3,Unmarried,Other-service,White,Male,0,0,10,United-States,<=50K
20,Self-emp,217404,9th-12th,3,Unmarried,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
17,Private,331552,9th-12th,3,Unmarried,Adm-clerical,White,Female,0,0,30,United-States,<=50K
63,Private,65740,Some-college,5,Married,Handlers-cleaners,Other,Male,0,0,40,Other,>50K
31,Private,169583,HS-grad,4,Unmarried,Exec-managerial,White,Female,0,0,40,United-States,<=50K
31,Private,243442,HS-grad,4,Married,Adm-clerical,White,Male,0,0,50,United-States,<=50K
52,Government,155233,HS-grad,4,Separated,Adm-clerical,White,Female,0,0,28,United-States,<=50K
60,Government,198815,Assoc-acdm,7,Married,Prof-specialty,White,Male,0,0,20,Other,<=50K
48,Government,123075,Masters,9,Married,Prof-specialty,White,Male,0,0,35,United-States,>50K
32,Government,73514,Assoc-voc,6,Unmarried,Other-service,Other,Female,0,0,50,United-States,<=50K
24,Private,216563,HS-grad,4,Married,Machine-op-inspct,White,Female,0,0,40,United-States,<=50K
32,Private,136331,Bachelors,8,Married,Sales,White,Male,0,> 0,40,United-States,>50K
33,Government,269604,1st-8th,2,Unmarried,Other-service,Other,Female,0,0,40,Other,<=50K
36,Private,298753,Some-college,5,Divorced,Exec-managerial,White,Female,0,0,60,United-States,<=50K
17,Government,191910,9th-12th,3,Unmarried,Sales,White,Male,0,0,20,United-States,<=50K
59,Private,314149,Assoc-voc,6,Married,Sales,White,Male,0,> 0,50,United-States,<=50K
61,Self-emp,268831,HS-grad,4,Married,Sales,White,Male,0,0,53,United-States,<=50K
39,Private,277886,Bachelors,8,Married,Sales,White,Female,0,0,30,United-States,<=50K
25,Private,141706,Some-college,5,Unmarried,Adm-clerical,White,Female,0,0,40,United-States,<=50K
33,Private,206512,Some-college,5,Divorced,Prof-specialty,White,Male,0,0,40,United-States,<=50K
34,Private,137991,Bachelors,8,Unmarried,Sales,White,Female,0,0,35,United-States,<=50K
31,Private,303942,Some-college,5,Married,Sales,White,Male,0,0,50,United-States,<=50K
38,Private,172571,Some-college,5,Divorced,Craft-repair,White,Male,0,0,58,Other,<=50K
23,Self-emp,111296,9th-12th,3,Unmarried,Craft-repair,White,Male,0,0,50,Other,<=50K
28,Government,73211,Some-college,5,Married,Adm-clerical,Other,Male,0,0,20,United-States,<=50K
18,Private,391495,Some-college,5,Unmarried,Sales,White,Female,0,0,25,United-States,<=50K
17,Private,171080,9th-12th,3,Unmarried,Handlers-cleaners,White,Male,0,0,20,United-States,<=50K
36,Self-emp,119272,HS-grad,4,Married,Exec-managerial,White,Male,0,0,38,United-States,<=50K
24,Private,199698,Assoc-acdm,7,Married,Handlers-cleaners,White,Male,0,0,48,United-States,<=50K
29,Government,107411,Some-college,5,Separated,Adm-clerical,White,Female,0,0,40,United-States,<=50K
61,Private,232308,HS-grad,4,Married,Transport-moving,White,Male,0,0,45,United-States,>50K
23,Private,203076,Some-college,5,Unmarried,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
45,Private,112929,1st-8th,2,Divorced,Machine-op-inspct,Black,Female,0,0,35,United-States,<=50K
43,Government,47818,Bachelors,8,Unmarried,Prof-specialty,White,Female,0,0,40,United-States,<=50K
33,Government,120460,HS-grad,4,Married,Craft-repair,White,Male,0,0,40,United-States,<=50K
64,Government,168854,Some-college,5,Separated,Exec-managerial,White,Female,0,0,25,United-States,<=50K
57,Private,161662,HS-grad,4,Separated,Craft-repair,White,Male,> 0,0,40,United-States,<=50K
51,Private,152810,HS-grad,4,Married,Prof-specialty,White,Male,0,0,40,United-States,>50K
59,Self-emp,247552,HS-grad,4,Married,Exec-managerial,White,Male,0,0,40,United-States,<=50K
27,Private,212622,Masters,9,Unmarried,Exec-managerial,White,Female,0,0,40,United-States,<=50K
54,Private,53833,1st-8th,2,Married,Transport-moving,White,Male,0,0,40,United-States,>50K
48,Government,50748,Bachelors,8,Divorced,Adm-clerical,White,Female,0,0,40,United-States,<=50K
42,Private,160893,Some-college,5,Married,Other-service,White,Female,0,0,23,United-States,<=50K
44,Government,197919,Some-college,5,Divorced,Other-service,White,Female,0,0,40,United-States,<=50K
36,Government,282602,Assoc-voc,6,Separated,Adm-clerical,Black,Female,0,0,40,United-States,<=50K
54,Private,28518,HS-grad,4,Married,Sales,White,Male,0,0,50,United-States,>50K
24,Private,36011,Some-college,5,Married,Sales,White,Male,0,> 0,45,United-States,<=50K
32,Private,65278,HS-grad,4,Married,Adm-clerical,White,Male,> 0,0,40,United-States,<=50K
46,Private,264210,Some-college,5,Married,Farming-fishing,White,Female,0,0,20,United-States,<=50K
21,Private,145389,Some-college,5,Unmarried,Prof-specialty,White,Female,0,0,25,United-States,<=50K
63,Self-emp,110890,Masters,9,Divorced,Prof-specialty,White,Male,0,0,70,United-States,>50K
45,Government,98524,Assoc-acdm,7,Married,Adm-clerical,White,Male,0,0,40,United-States,>50K
41,Private,178002,HS-grad,4,Married,Adm-clerical,White,Female,0,0,40,United-States,>50K
46,Government,149337,Masters,9,Unmarried,Exec-managerial,White,Male,0,0,38,United-States,<=50K
35,Private,190194,HS-grad,4,Unmarried,Adm-clerical,White,Female,0,0,40,United-States,<=50K
32,Private,260868,Bachelors,8,Married,Sales,Black,Male,0,0,40,United-States,>50K
47,Private,227310,Some-college,5,Divorced,Adm-clerical,Black,Female,0,0,40,United-States,<=50K
55,Private,220262,HS-grad,4,Divorced,Sales,White,Female,0,0,40,United-States,<=50K
40,Private,119493,Some-college,5,Unmarried,Exec-managerial,White,Female,0,0,40,United-States,<=50K
29,Private,190765,HS-grad,4,Divorced,Machine-op-inspct,White,Male,0,0,44,United-States,<=50K
49,Self-emp,355978,Prof-school,10,Married,Prof-specialty,White,Male,> 0,0,35,United-States,>50K
33,Government,120064,Bachelors,8,Unmarried,Prof-specialty,White,Female,0,0,45,United-States,<=50K
34,Private,185063,Some-college,5,Married,Machine-op-inspct,White,Male,0,0,45,United-States,>50K
19,Private,84250,Some-college,5,Unmarried,Prof-specialty,White,Female,0,0,15,United-States,<=50K
19,Private,389143,Some-college,5,Unmarried,Sales,White,Male,0,0,40,United-States,<=50K
34,Government,106169,Masters,9,Divorced,Prof-specialty,White,Female,0,0,50,United-States,<=50K
52,Private,208137,Assoc-voc,6,Married,Adm-clerical,White,Male,0,0,40,United-States,<=50K
30,Government,210926,9th-12th,3,Divorced,Farming-fishing,White,Female,0,0,40,Other,<=50K
47,Self-emp,121124,1st-8th,2,Married,Sales,White,Male,0,0,55,Other,>50K
29,Private,327779,Some-college,5,Married,Handlers-cleaners,White,Male,0,0,20,United-States,<=50K
21,Private,96178,HS-grad,4,Unmarried,Other-service,White,Female,0,0,40,United-States,<=50K
23,Private,133515,Bachelors,8,Unmarried,Sales,White,Female,0,0,20,United-States,<=50K
38,Private,159179,Some-college,5,Married,Exec-managerial,White,Male,0,> 0,50,United-States,>50K
42,Private,109912,Some-college,5,Unmarried,Tech-support,White,Female,0,0,40,United-States,>50K
64,Government,158412,HS-grad,4,Separated,Adm-clerical,White,Female,0,0,40,United-States,<=50K
26,Private,195105,HS-grad,4,Unmarried,Sales,Other,Male,0,0,40,United-States,<=50K
24,Private,163053,9th-12th,3,Unmarried,Sales,White,Female,0,0,36,United-States,<=50K
43,Private,475322,Some-college,5,Married,Transport-moving,White,Male,0,0,50,United-States,>50K
25,Private,629900,Bachelors,8,Married,Prof-specialty,Black,Female,0,0,40,United-States,>50K
43,Private,244172,HS-grad,4,Married,Machine-op-inspct,White,Male,0,0,35,United-States,<=50K
32,Private,144064,Bachelors,8,Unmarried,Tech-support,White,Male,0,0,40,United-States,<=50K
55,Self-emp,147098,9th-12th,3,Married,Craft-repair,White,Male,0,0,50,United-States,<=50K
46,Private,37353,Some-college,5,Married,Handlers-cleaners,White,Male,0,0,45,United-States,<=50K
59,Government,50929,Some-college,5,Married,Exec-managerial,White,Male,0,0,60,United-States,>50K
61,Private,87300,HS-grad,4,Divorced,Other-service,White,Female,0,0,40,United-States,<=50K
30,Private,343699,HS-grad,4,Divorced,Craft-repair,White,Female,0,0,40,United-States,<=50K
50,Private,271493,HS-grad,4,Divorced,Adm-clerical,White,Female,0,0,40,United-States,<=50K
28,Private,175537,Some-college,5,Separated,Adm-clerical,Black,Female,0,0,37,United-States,<=50K
54,Private,139347,HS-grad,4,Separated,Adm-clerical,White,Female,0,0,40,United-States,<=50K
17,Private,182158,9th-12th,3,Unmarried,Other-service,White,Male,0,0,30,United-States,<=50K
30,Private,175323,Assoc-voc,6,Married,Exec-managerial,White,Female,0,0,52,United-States,<=50K
43,Private,43533,1st-8th,2,Separated,Other-service,White,Female,0,0,40,Other,<=50K
32,Government,191731,Some-college,5,Unmarried,Adm-clerical,Black,Female,0,0,40,United-States,<=50K
45,Private,59287,Bachelors,8,Married,Exec-managerial,White,Male,0,0,40,United-States,<=50K
37,Self-emp,326400,HS-grad,4,Married,Transport-moving,White,Male,0,0,30,United-States,<=50K
24,Government,403471,Some-college,5,Unmarried,Adm-clerical,Black,Female,0,0,48,United-States,<=50K
33,Private,118786,Bachelors,8,Unmarried,Sales,White,Male,0,> 0,40,United-States,<=50K
21,Private,236696,Some-college,5,Unmarried,Other-service,White,Male,0,0,57,United-States,<=50K
45,Government,81487,Some-college,5,Married,Adm-clerical,White,Male,0,0,40,Other,>50K
33,Private,183557,Assoc-acdm,7,Unmarried,Prof-specialty,White,Female,0,0,40,United-States,<=50K
54,Self-emp,226735,HS-grad,4,Married,Other-service,Black,Male,0,0,45,United-States,<=50K
54,Private,133050,Some-college,5,Unmarried,Sales,Black,Male,0,0,41,United-States,<=50K
30,Private,312667,HS-grad,4,Married,Transport-moving,White,Male,0,0,40,United-States,<=50K
48,Government,212050,Some-college,5,Married,Prof-specialty,White,Male,0,0,40,United-States,>50K
31,Private,59496,Some-college,5,Married,Adm-clerical,White,Male,0,0,50,United-States,<=50K
32,Private,226010,HS-grad,4,Married,Craft-repair,White,Male,0,0,60,United-States,<=50K
26,Private,187652,Assoc-acdm,7,Unmarried,Tech-support,White,Male,0,0,40,United-States,<=50K
40,Private,216237,Bachelors,8,Divorced,Exec-managerial,White,Female,0,0,45,United-States,>50K
49,Government,89334,Bachelors,8,Married,Prof-specialty,White,Male,0,0,40,United-States,<=50K
17,Private,143791,9th-12th,3,Unmarried,Other-service,Black,Female,0,0,12,United-States,<=50K
43,Government,165309,HS-grad,4,Married,Other-service,White,Male,0,0,40,United-States,<=50K
29,Private,37359,Bachelors,8,Married,Machine-op-inspct,White,Male,> 0,0,40,United-States,>50K
33,Private,229636,HS-grad,4,Unmarried,Craft-repair,White,Male,0,0,40,Other,<=50K
43,Private,233851,Bachelors,8,Divorced,Adm-clerical,White,Female,0,0,40,United-States,<=50K
18,Private,188476,9th-12th,3,Unmarried,Exec-managerial,White,Male,0,0,20,United-States,<=50K
41,Private,195821,Doctorate,11,Married,Exec-managerial,White,Female,0,> 0,40,United-States,>50K
30,Private,197947,Some-college,5,Divorced,Sales,White,Male,0,0,58,United-States,<=50K
25,Private,110978,Assoc-acdm,7,Married,Adm-clerical,Other,Female,0,0,37,Other,>50K
36,Private,189674,HS-grad,4,Unmarried,Other-service,Black,Female,0,0,28,United-States,<=50K
27,Private,100079,HS-grad,4,Unmarried,Other-service,Other,Male,0,0,60,Other,<=50K
44,Private,187720,HS-grad,4,Married,Craft-repair,White,Male,0,0,41,United-States,<=50K
38,Private,181661,Assoc-acdm,7,Married,Tech-support,White,Male,0,0,56,United-States,>50K
37,Government,187046,Some-college,5,Married,Prof-specialty,White,Male,0,0,40,United-States,>50K
57,Private,61761,Some-college,5,Married,Craft-repair,White,Male,0,> 0,45,United-States,<=50K
47,Private,99911,9th-12th,3,Separated,Exec-managerial,White,Female,0,0,55,United-States,<=50K
30,Private,175931,HS-grad,4,Married,Craft-repair,White,Male,0,0,40,United-States,<=50K
23,Government,117789,Assoc-voc,6,Unmarried,Prof-specialty,White,Female,0,0,50,United-States,<=50K
23,Private,162282,Some-college,5,Unmarried,Handlers-cleaners,White,Male,0,0,25,United-States,<=50K
37,Government,105266,Some-college,5,Married,Transport-moving,White,Male,0,0,40,United-States,<=50K
47,Self-emp,192894,Bachelors,8,Married,Exec-managerial,White,Male,0,> 0,45,United-States,>50K
65,Private,90907,1st-8th,2,Married,Other-service,Other,Male,0,0,40,United-States,<=50K
33,Self-emp,170979,Prof-school,10,Married,Prof-specialty,White,Male,0,> 0,40,United-States,>50K
31,Private,133770,Assoc-acdm,7,Married,Craft-repair,Other,Male,0,0,50,United-States,>50K
39,Private,40955,Prof-school,10,Divorced,Prof-specialty,White,Male,0,0,45,United-States,>50K
43,Government,347720,Bachelors,8,Unmarried,Tech-support,White,Male,0,0,50,United-States,<=50K
28,Self-emp,142712,Some-college,5,Married,Exec-managerial,White,Male,0,0,70,United-States,<=50K
27,Private,47907,Bachelors,8,Unmarried,Adm-clerical,White,Female,0,0,43,United-States,<=50K
36,Private,228190,HS-grad,4,Married,Handlers-cleaners,Black,Male,0,0,20,United-States,<=50K
36,Self-emp,129150,HS-grad,4,Married,Farming-fishing,White,Male,0,0,50,United-States,>50K
36,Private,207568,HS-grad,4,Married,Craft-repair,White,Male,0,0,50,United-States,<=50K
42,Government,247082,Bachelors,8,Married,Prof-specialty,White,Male,> 0,0,50,United-States,>50K
49,Government,175958,9th-12th,3,Married,Handlers-cleaners,White,Male,0,0,40,Other,<=50K
52,Private,176240,Bachelors,8,Married,Exec-managerial,White,Male,0,0,40,United-States,>50K
59,Private,24384,HS-grad,4,Separated,Other-service,White,Female,0,0,40,United-States,<=50K
50,Private,110327,HS-grad,4,Married,Sales,White,Male,0,0,50,United-States,>50K
23,Private,185452,Bachelors,8,Unmarried,Exec-managerial,White,Female,0,0,35,Other,<=50K
33,Government,428271,HS-grad,4,Divorced,Adm-clerical,Black,Female,0,0,35,United-States,<=50K
41,Private,163322,9th-12th,3,Divorced,Exec-managerial,White,Female,0,0,36,United-States,<=50K
24,Private,206974,Bachelors,8,Unmarried,Adm-clerical,White,Female,0,0,40,United-States,<=50K
41,Private,311101,HS-grad,4,Divorced,Craft-repair,White,Male,0,0,40,United-States,<=50K
27,Self-emp,141795,Some-college,5,Married,Exec-managerial,White,Male,0,0,30,United-States,<=50K
29,Private,200511,Bachelors,8,Married,Sales,White,Male,0,0,50,United-States,<=50K
43,Private,158528,HS-grad,4,Married,Craft-repair,White,Male,0,0,40,United-States,>50K
44,Self-emp,136986,Prof-school,10,Married,Prof-specialty,White,Male,0,> 0,50,United-States,>50K
49,Government,215895,Masters,9,Married,Adm-clerical,White,Male,0,0,40,Other,>50K
29,Private,206351,Bachelors,8,Unmarried,Prof-specialty,White,Male,0,0,40,United-States,<=50K
47,Private,216093,HS-grad,4,Married,Adm-clerical,White,Male,> 0,0,40,United-States,>50K
35,Private,169672,Some-college,5,Married,Craft-repair,White,Male,0,0,40,United-States,<=50K
31,Self-emp,344275,HS-grad,4,Unmarried,Craft-repair,White,Male,0,0,44,United-States,<=50K
51,Private,91137,9th-12th,3,Unmarried,Other-service,Black,Female,0,0,40,United-States,<=50K
31,Private,186787,HS-grad,4,Unmarried,Craft-repair,White,Male,0,0,42,United-States,<=50K
47,Private,114459,HS-grad,4,Married,Sales,White,Male,0,0,40,United-States,>50K
31,Self-emp,312055,HS-grad,4,Married,Exec-managerial,White,Male,0,0,70,United-States,<=50K
29,Private,183523,9th-12th,3,Unmarried,Other-service,White,Male,0,0,40,United-States,<=50K
65,Private,31924,Some-college,5,Separated,Adm-clerical,White,Female,0,0,15,United-States,<=50K
29,Private,105598,Some-college,5,Divorced,Tech-support,White,Male,0,0,58,United-States,<=50K
59,Private,90290,Some-college,5,Married,Prof-specialty,White,Male,0,0,34,United-States,<=50K
28,Private,71733,Some-college,5,Separated,Other-service,White,Female,0,0,15,United-States,<=50K
48,Private,148995,Masters,9,Married,Exec-managerial,White,Male,0,0,40,United-States,>50K
47,Private,114770,HS-grad,4,Divorced,Other-service,White,Female,0,0,32,United-States,<=50K
22,Private,58916,Some-college,5,Unmarried,Adm-clerical,White,Female,0,0,30,United-States,<=50K
35,Private,167482,Bachelors,8,Married,Exec-managerial,White,Male,0,0,60,United-States,<=50K
53,Government,155594,Bachelors,8,Married,Prof-specialty,White,Male,0,0,40,United-States,>50K
46,Private,166546,Some-college,5,Divorced,Adm-clerical,White,Female,0,0,24,United-States,<=50K
51,Private,275507,Some-college,5,Divorced,Sales,Black,Female,0,0,50,United-States,<=50K
49,Private,207772,HS-grad,4,Divorced,Tech-support,White,Male,0,0,40,United-States,<=50K
45,Private,274869,HS-grad,4,Divorced,Adm-clerical,White,Female,0,0,40,United-States,<=50K
41,Private,32121,HS-grad,4,Married,Machine-op-inspct,White,Male,0,0,40,United-States,>50K
21,Private,131473,Some-college,5,Unmarried,Sales,Other,Male,0,0,20,Other,<=50K
23,Government,191165,Some-college,5,Unmarried,Other-service,White,Male,0,0,15,United-States,<=50K
41,Private,169823,Prof-school,10,Married,Prof-specialty,White,Male,0,0,46,United-States,>50K
27,Private,181916,Some-college,5,Unmarried,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
42,Private,227065,Some-college,5,Married,Prof-specialty,White,Male,> 0,0,32,United-States,>50K
46,Private,102771,Masters,9,Married,Tech-support,White,Male,0,> 0,40,United-States,>50K
63,Private,281025,9th-12th,3,Married,Handlers-cleaners,White,Male,0,0,32,United-States,<=50K
